year,id,espacios(rótulo_refined),Dirección,Epígrafe de actividad,Fecha de la inspección,Tipo de actuación,Perfil de la actividad,Estado higiénico sanitario,Frecuencia de inspección,macroetiquetas,year_2018,id_2,Fecha de la inspección_2,Tipo de actuación_2,Perfil de la actividad_2,Estado higiénico sanitario_2,Frecuencia de inspección_2,mejora o empeora,latitude,longitude,final_district,owner (education only),Denominación genérica,fuente alternativa
2019,4647,FILANDON,CARRETERA M-612 KM. 190 SA,561001 - RESTAURANTE,28/05/2019,Programada,Prioridad alta,Desfavorable,Muy Alta,bares/restaurantes,2018,7702,22/11/2018,Programada,Prioridad media,Favorable condicionado,Media,Empeora,40.5094149,-3.7428881,Fuencarral-El Pardo,,,
2018,6916,HELENDAY CLUB HIPICO,CARRETERA M-612 KM. 400 SA,561004 - BAR RESTAURANTE,13/09/2018,Programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.5094149,-3.7428881,Fuencarral-El Pardo,,,
2018,5277,"C.P.E.E. ""LA QUINTA""",CARRETERA SOMONTES AL PALACIO DE LA REAL QUINTA NUM 1 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,17/05/2018,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.4922094,-3.7511794,Fuencarral-El Pardo,Centro público,Educación Especial,
2019,771,LIDL VICALVARO,CARRETERA VICALVARO A LA ESTACION DE O'DONNELL NUM 13 ,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",22/02/2019,Programada,Prioridad media,Favorable,Media,comercio,2018,1125,08/02/2018,Programada,Prioridad media,Favorable,Media,Sin cambios,40.4054566,-3.5915126,Vicálvaro,,,
2019,772,LIDL VICALVARO,CARRETERA VICALVARO A LA ESTACION DE O'DONNELL NUM 13 ,472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,22/02/2019,Programada,Prioridad media,Favorable,Media,comercio,2018,1126,08/02/2018,Programada,Prioridad media,Favorable,Media,Sin cambios,40.4054566,-3.5915126,Vicálvaro,,,
2018,4506,DIOCARNES DENTRO DE LIDL,CARRETERA VICALVARO A LA ESTACION DE O'DONNELL NUM 13 ,472201 - COMERCIO AL POR MENOR DE CARNICERIA,04/04/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4054566,-3.5915126,Vicálvaro,,,
2018,4507,DIOCARNES DENTRO DE LIDL,CARRETERA VICALVARO A LA ESTACION DE O'DONNELL NUM 13 ,"472206 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",21/03/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4054566,-3.5915126,Vicálvaro,,,
2018,1127,LIDL VICALVARO,CARRETERA VICALVARO A LA ESTACION DE O'DONNELL NUM 13 ,472402 - COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA SIN OBRADOR,27/11/2018,Programada,Prioridad media,Favorable,Media,comercio,,,,,,,,,40.4054566,-3.5915126,Vicálvaro,,,
2019,788,MERCADONA VICALVARO,CARRETERA VICALVARO A LA ESTACION DE O'DONNELL NUM 19 ,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",22/02/2019,Programada,Prioridad media,Favorable,Media,comercio,2018,1158,27/11/2018,Programada,Prioridad media,Favorable,Media,Sin cambios,40.40579,-3.5909,Vicálvaro,,,
2019,2750,"E.I. MUNDO MAGICO, HOTEL",CARRETERA VICALVARO A LA ESTACION DE O'DONNELL NUM 20 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,30/05/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,2018,4739,10/04/2018,Programada,Prioridad alta,Favorable,Alta,Sin cambios,40.40438,-3.59162,Vicálvaro,Centro privado,Infantil,
